title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,14/6/2017 7:29,8,6,yellow,1,1188,us,0,0.247,35,mww,93,14.9091,-92.0092,"San Pablo, Guatemala",,Guatemala
"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,29/5/2017 14:35,7,7,green,0,678,us,0,2.353,18,mww,12,-1.2923,120.431,"Poso, Indonesia",,Indonesia
"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,9/5/2017 13:52,6,5,green,1,713,us,0,7.495,19,mww,169,-14.5884,167.377,"Port-Olry, Vanuatu",,Vanuatu
"M 6.9 - 31 km SW of Burias, Philippines",6.9,28/4/2017 20:23,9,6,green,1,814,us,0,1.636,14,mww,26,5.5043,125.066,"Burias, Philippines",,Philippines
"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,3/4/2017 17:40,7,8,green,0,1297,us,0,2.36,15,mww,29,-22.6784,25.1558,"Moijabana, Botswana",Africa,Botswana
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,29/3/2017 4:09,6,7,yellow,1,671,us,0,4.591,14,mww,17,56.9401,162.786,"Ust’-Kamchatsk Staryy, Russia",Asia,Russia
"M 6.5 - 41 km E of Padilla, Bolivia",6.5,21/2/2017 14:09,3,3,green,0,653,us,0,4.242,14,mww,595.98,-19.2814,-63.9047,"Padilla, Bolivia",South America,Bolivia
"M 6.5 - 11 km N of Mabua, Philippines",6.5,10/2/2017 14:03,8,7,yellow,1,718,us,0,2.822,36,mww,15,9.9071,125.452,"Mabua, Philippines",,Philippines
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,22/1/2017 4:30,9,7,yellow,1,987,us,0,3.625,9,mww,135,-6.2464,155.172,"Panguna, Papua New Guinea",,Papua New Guinea
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,19/1/2017 23:04,6,6,green,1,654,us,0,1.64,21,mww,36,-10.3506,161.335,"Kirakira, Solomon Islands",,Solomon Islands
